Country Name,Date,Access to electricity (% of population),Agricultural irrigated land (% of total agricultural land),Agricultural land (% of land area),Agricultural land (sq. km),"Agriculture, forestry, and fishing, value added (% of GDP)","Annual freshwater withdrawals, total (% of internal resources)","Annual freshwater withdrawals, total (billion cubic meters)",Arable land (% of land area),Average precipitation in depth (mm per year),CO2 emissions (kg per 2015 US$ of GDP),CO2 emissions (kg per 2017 PPP $ of GDP),CO2 emissions (kg per PPP $ of GDP),CO2 emissions (kt),CO2 emissions (metric tons per capita),CO2 emissions from gaseous fuel consumption (% of total),CO2 emissions from gaseous fuel consumption (kt),CO2 emissions from liquid fuel consumption (% of total),CO2 emissions from liquid fuel consumption (kt),CO2 emissions from solid fuel consumption (% of total),CO2 emissions from solid fuel consumption (kt),CO2 intensity (kg per kg of oil equivalent energy use),CPIA public sector management and institutions cluster average (1=low to 6=high),Cereal yield (kg per hectare),"Community health workers (per 1,000 people)",Disaster risk reduction progress score (1-5 scale; 5=best),"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",Ease of doing business rank (1=most business-friendly regulations),Electric power consumption (kWh per capita),Electricity production from coal sources (% of total),Electricity production from hydroelectric sources (% of total),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),Electricity production from oil sources (% of total),"Electricity production from renewable sources, excluding hydroelectric (% of total)","Electricity production from renewable sources, excluding hydroelectric (kWh)",Energy use (kg of oil equivalent per capita),"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)","Foreign direct investment, net inflows (% of GDP)",Forest area (% of land area),Forest area (sq. km),GHG net emissions/removals by LUCF (Mt of CO2 equivalent),HFC gas emissions (thousand metric tons of CO2 equivalent),Land area where elevation is below 5 meters (% of total land area),Marine protected areas (% of territorial waters),Methane emissions (% change from 1990),Methane emissions (kt of CO2 equivalent),"Mortality rate, under-5 (per 1,000 live births)",Nitrous oxide emissions (% change from 1990),Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Other greenhouse gas emissions (% change from 1990),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",PFC gas emissions (thousand metric tons of CO2 equivalent),Population growth (annual %),Population in urban agglomerations of more than 1 million (% of total population),Population living in areas where elevation is below 5 meters (% of total population),"Population, total",Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),"Prevalence of underweight, weight for age (% of children under 5)","Primary completion rate, total (% of relevant age group)",Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Rural land area where elevation is below 5 meters (% of total land area),Rural land area where elevation is below 5 meters (sq. km),Rural population living in areas where elevation is below 5 meters (% of total population),SF6 gas emissions (thousand metric tons of CO2 equivalent),"School enrollment, primary and secondary (gross), gender parity index (GPI)",Terrestrial and marine protected areas (% of total territorial area),Terrestrial protected areas (% of total land area),Total greenhouse gas emissions (% change from 1990),Total greenhouse gas emissions (kt of CO2 equivalent),Urban land area where elevation is below 5 meters (% of total land area),Urban land area where elevation is below 5 meters (sq. km),Urban population,Urban population (% of total population),Urban population growth (annual %),Urban population living in areas where elevation is below 5 meters (% of total population)
Afghanistan,1990 [YR1990],..,..,58.2667034279937,380400,..,..,..,12.1159207180713,..,..,..,..,2960,0.238472916123355,13.6273648648649,403.37,62.5619932432432,1851.835,9.41527027027027,278.692,..,..,1200.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.85099408755323,12084.4,..,..,..,..,..,8970,177.7,..,3250,..,935.064407348629,..,4.47695437953718,12.4821235948729,..,12412311,..,..,..,67.7304964539007,15.9245316828932,..,..,..,..,..,..,..,..,15180,..,..,2628555,21.177,4.89810096589011,..
Afghanistan,2000 [YR2000],..,..,57.8270992249487,377530,..,..,..,11.768219832736,..,..,..,..,770,0.0370549371204185,29.0502597402597,223.687,64.7677922077922,498.712,0.476233766233766,3.667,..,..,806.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.85099408755323,12084.4,..,..,..,..,23.029584743785,10590,128.7,20.6815451515203,3620,-20.95625,-1556.07284164429,..,2.97505722281038,11.554927664191,..,20779957,..,..,..,74.9890940817217,54.2431983947754,..,..,..,..,..,..,..,8.0055490029088,15080,..,..,4587799,22.078,3.39264380829693,..
Afghanistan,2011 [YR2011],43.2220189082037,5.39171722500659,58.0675795729559,379100,23.7436639877543,..,..,11.9336458046135,..,0.764198995095877,0.213736253516599,0.239527126229972,12260,0.407073503097594,2.51246329526917,308.028,62.0638254486134,7609.025,35.1146655791191,4305.058,..,2.5,1659.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.293038432389243,1.85099408755323,12084.4,..,..,..,..,78.6704695329318,39480,83.9,23.3580480871728,6610,118.124999999993,5607.86002731323,..,3.14310555651301,11.1950293469781,..,30117411,..,..,..,82.4875621890547,11.559100151062,..,..,..,..,0.663450002670288,..,..,43.5287644039078,58650,..,..,7212518,23.948,4.0280877136847,..
Afghanistan,2012 [YR2012],69.1,5.46557636507518,58.0675795729559,379100,24.390873626371,43.0159066808059,20.282,11.9321140826517,327,0.577706059158855,0.161576669834486,0.175138676058008,10450,0.335351023308404,2.94763636363636,308.028,64.7076363636364,6761.948,35.0909090909091,3667,..,2.5,2029.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.284095593578656,1.85099408755323,12084.4,..,..,..,..,80.4394840827628,48780,80.3,24.5794148999171,7160,118.125000000016,3299.16196060181,..,3.40760003260595,11.0922437383867,..,31161378,..,..,..,85.9099804305284,14.404899597168,..,..,..,..,0.669250011444092,..,..,..,66750,..,..,7528589,24.16,4.2889512956776,..
Afghanistan,2013 [YR2013],68.9829406738281,5.51833289369559,58.0675795729559,379100,22.8106627361766,..,..,11.9244554728426,..,0.44550564517469,0.124601979499054,0.130842881411647,8510,0.263715760645502,3.49032902467685,297.027,56.2330787309048,4785.435,46.322267920094,3942.025,..,2.5,2048.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.234965140617877,1.85099408755323,12084.4,..,..,..,..,..,58130,76.8,..,7720,..,714.056015014648,..,3.49459192739625,10.980095440934,..,32269592,..,24.6,..,78.6364080993837,17.1049995422363,..,..,..,..,0.655330002307892,..,..,..,74800,..,..,7865068,24.373,4.37235419172966,..
Afghanistan,2014 [YR2014],89.5,5.74254814033237,58.0675795729559,379100,22.1370413719574,..,..,11.903011365377,..,0.398015940544431,0.111319743310025,0.113092779426852,7810,0.234036914423758,3.47449423815621,271.358,48.3142509603073,3773.343,56.0614340588989,4378.398,..,2.5,2017.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.209790107431935,1.85099408755323,12084.4,..,..,..,..,..,67770,73.6,..,8550,..,-416.53784942627,..,3.35560233082199,10.8845714355579,..,33370804,..,..,..,85.3235490326885,20.770299911499,..,..,..,..,0.654020011425018,..,..,..,84620,..,..,8204880,24.587,4.22979168341647,..
Afghanistan,2015 [YR2015],71.5,5.71089422316012,58.0675795729559,379100,20.6343227166798,..,..,11.893821033606,..,0.401364107118854,0.112256180788168,0.111232232621157,7990,0.232175631246749,3.53390488110138,282.359,59.3420650813517,4741.431,49.7500375469337,3975.028,..,2.5,2133.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.849679315295404,1.85099408755323,12084.4,..,..,..,..,..,76590,70.4,..,8590,..,-691.202514648438,..,3.07705362914441,10.8199742991165,..,34413603,..,..,..,86.0501112508465,20.2737998962402,..,..,..,..,0.6423299908638,..,..,..,93730,..,..,8535606,24.803,3.95172562767825,..
Afghanistan,2016 [YR2016],97.7,6.4811395410182,58.0675795729559,379100,25.7403140364582,..,..,11.8386790429801,..,0.363018759531093,0.101531499146612,0.105423901240107,7390,0.208857195602366,4.31703653585927,319.029,47.0408119079838,3476.316,65.35100135318,4829.439,..,2.6,1981.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.519439553284401,1.85099408755323,12084.4,..,..,..,..,..,78150,67.6,..,9120,..,-1800.00357818604,..,2.77803478841236,10.7883389742675,..,35383028,..,..,80.4950408935547,..,24.7402992248535,..,..,..,..,0.645669996738434,0.104707040342723,0.1,..,95370,..,..,8852834,25.02,3.64912782637723,..
Afghanistan,2017 [YR2017],97.7,5.99050382484833,58.0675795729559,379100,26.4201990834448,43.0159066808059,20.282,11.7927273841252,327,0.353178873719891,0.0987794144908959,0.0987794144908959,7380,0.20332756862023,..,..,..,..,..,..,..,2.6,2025.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.273100398078681,1.85099408755323,12084.4,..,..,..,..,..,79610,64.9,..,9450,..,..,..,2.54783303994568,10.7815875921252,..,36296111,..,..,84.4149475097656,..,25.082799911499,..,..,..,..,0.641690015792847,0.104707034792812,0.104707034792812,..,97300,..,..,9164768,25.25,3.46289335307327,..
Afghanistan,2018 [YR2018],98.7156219482422,5.13462907777104,58.0813650706124,379190,22.0428967527575,..,..,11.7988542719726,..,0.351865760083906,0.098412154142743,0.0961046984781848,7440,0.200151071015376,..,..,..,..,..,..,..,2.6,2164.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.650734876576324,1.85099408755323,12084.4,..,..,..,..,..,81510,62.5,..,8960,..,..,..,2.38430907940751,10.7924739538623,..,37171922,..,19.1,85.6253280639648,..,21.422700881958,..,..,..,..,0.636020004749298,0.104707034792812,0.104707034792812,..,98920,..,..,9476982,25.495,3.34993438731489,..
